Codi,,Nom,Adreça,Localitat,UTMx,UTMy,Distància,Punt de Relleu,Àrea de Transferència,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
3236,22,Gran Via - Pl Espanya,Gran Via Corts Catalanes 373-385,Barcelona,428921.365540318,4580842.74385142,227,Si,Espanya,6,21,29,24,20,23,24,26,32,26,25,27,28,28,23,19,10,1
108,23,Pl Espanya - FGC,Gran Via Corts Catalanes 361-371,Barcelona,428750.160813774,4580669.94638252,263,,Espanya,5,15,37,34,26,29,28,34,35,30,32,36,35,33,27,22,11,2
421,24,Gran Via - Farell,Gran Via de les Corts Catalanes 291-293,Barcelona,428494.529043499,4580405.83671265,368,,,1,4,9,8,6,8,7,12,9,7,8,14,10,8,5,5,1,0
907,25,Gran Via - Moianès,Gran Via Corts Catalanes 249-253,Barcelona,428297.463259037,4580212.23890773,276,,,1,5,8,6,8,7,6,8,7,7,6,10,8,7,4,4,1,0
895,26,La Campana,Gran Via de les Corts Catalanes s/n,Barcelona,428077.883383907,4579999.43051386,306,,Magòria/La Campana,1,6,9,7,7,8,7,10,9,7,8,12,10,8,5,4,1,0
183,27,Gran Via - Ildefons Cerdà,Gran Via de les Corts Catalanes 137,Barcelona,427786.003322841,4579728.12593786,400,,Ildefons Cerdà,2,6,14,8,7,8,6,7,11,8,10,9,9,7,5,5,1,0
3023,28,Ildefons Cerdà - Ciutat de la Justícia,Gran Via Corts Catalanes 111,Barcelona,427556.098235007,4579506.52738870,335,Si,Ildefons Cerdà,1,3,15,6,4,10,4,5,9,6,7,5,6,4,3,2,1,0
3024,29,Av Granvia - Alhambra,Gran Via De L'hospitalet s/n,l'Hospitalet de Llobregat,427341.915383254,4579297.01498898,300,,,1,2,7,2,2,3,3,3,5,3,4,2,2,2,1,1,0,0
2965,30,Av Granvia - Natzaret,Gran Via s/n ,l'Hospitalet de Llobregat,427102.110848955,4579062.08977427,336,,,0,2,6,1,2,4,3,2,4,3,3,2,3,2,2,1,0,0
92,31,Pl Europa,Av. Granvia,l'Hospitalet de Llobregat,426942.711214066,4578906.86747305,223,,Pl. Europa,0,2,4,1,2,3,2,2,3,2,2,1,3,2,1,1,0,0
2966,32,Amadeu Torner,Av. Granvia 70,l'Hospitalet de Llobregat,426738.306101330,4578707.08918424,302,,Pl. Europa,0,1,4,1,1,1,1,1,4,1,2,1,2,0,0,1,0,0
1434,33,Av Granvia - Can Tries,Av. Granvia,l'Hospitalet de Llobregat,426562.549294465,4578535.17952126,246,,,21,3,3,1,1,3,1,2,3,1,2,3,2,1,1,2,0,0
3225,34,Gornal,Av. Granvia s/n,l'Hospitalet de Llobregat,426355.951777456,4578332.65015482,290,,,,,,,,,,,,,,,,,,,,
